Materias o asignaturas;Abreviatura;Nombre largo;Departamento;Es de tutoría;Prof. Técnico;Lectivas;Clave externa;Se imparte en cursos
BG-4ESOG1;BG-4ESOG1;Biología 4º ESO G1;<ninguno>;;;3;;4 ESO
BG-4ESOG2;BG-4ESOG2;Biología 4º ESO G2;<ninguno>;;;3;;4 ESO
BG-4ESOG3;BG-4ESOG3;Biología 4º ESO G3;<ninguno>;;;;;
BG-ACNEE-1ES;BG-ACNEE-1ESO;Biología necesidades educativas 1 ESO;<ninguno>;;;;;1 ESO
BG-ACNEE-3ES;BG-ACNEE-3ESO;Biología necesidades educativas 3 ESO;<ninguno>;;;;;3 ESO
BG-CCNN3ESO;BG-CCNN3ESO;Biología-Geología y Ciencias Naturales 3ESO;<ninguno>;;;;;3 ESO
BG-GEO-1BCN;BG-GEO-1BCN;Biología y Geología 1 Bach. Ciencia Nocturno;<ninguno>;;;4;;2BCN
BioGeo1BchG1;BIOLGEO-1BACH;Biología y Geología 1º Bachillerato;<ninguno>;;;4;;1 Bach (CT)
BioGeo1BchG2;;BioGeo1BchG2;<ninguno>;;;;;
BIOL-2Bac;Biol2Bach;Biología 2º Bach;<ninguno>;;;4;;2 Bach (CT)
BIOL-2Bac-G2;BIOL-2Bac-G2;Biología 2º Bach G2;<ninguno>;;;;;
CAU;CAU;Cultura Audiovisual;<ninguno>;;;;;
CAU-1BachG1;CAU-1BachD;Cultura Audiovisual 1Bach. G1;<ninguno>;;;;;1 Bach (CT), 1 Bach (HCS)
CAU-1BachG2;CAU-1BachAB;Cultura Audiovisual 1Bach. G2;<ninguno>;;;;;1 Bach (CT)
CAU-1BachG3;CAU-1BachC;Cultura Audiovisual 1Bach. G3;<ninguno>;;;;;1 Bach (HCS)
CC-1BACH;CC-1BACH;Cultura Cientifica 1BACH;<ninguno>;;;;;
CC-1BNoc;CC-1BNoc;Cultura Científica 1 Bach Nocturno;<ninguno>;;;2;;
CC-4ESO;CC-4ESO;Cultura Científica 4ESO;<ninguno>;;;2;;4 ESO
CCAA-AP-4ESO;CCAA-AP-4ESO;Ciencias Aplicadas a la Act. Prof. 4ESO;<ninguno>;;;;;
CCAAP-4ESO;;CCAAP-4ESO;<ninguno>;;;3;;4 ESO
CClasic-3ESO;CClasic-3ESO;Cultura Clásica 3º ESO;<ninguno>;;;;;3 ESO
CClasic-4ESO;CClasic-4ESO;Cultura Clásica -4ESO;<ninguno>;;;3;;4 ESO
CCP;CCP;Comisión de Coordinación Pedagógica;<ninguno>;;;1;;
CMC;;Ciencias para el Mundo Contemporáneo CT y HCS;<ninguno>;;;;;1BCN, 1BCS
CMC-1Bach;CMC-1BACH;Ciencias para el Mundo Cont. 1º Bach;<ninguno>;;;;;1 Bach (CT), 1 Bach (HCS)
CTM 2º;CTM 2º;Ciencias e la tierra y medioambiental;<ninguno>;;;;;
CTM-2Bach;CTM-2BACH;Ciencias de la Tierra y Medioamb. - 2º Bach;<ninguno>;;;;;2 Bach (CT)
DFRA1Sfr1ESO;DFRA1Sfr1ESO;Desdoble de Frances seccion 1ESO;<ninguno>;;;;;1 ESO
DFRA1Sfr2ESO;DFRA1Sfr2ESO;Desdoble de Frances seccion 2ESO;<ninguno>;;;;;2 ESO
DFRA2-1ESO;DFRA2-1ESO;Desdoble de frances 2 en 1 ESO;<ninguno>;;;1;;1 ESO
DFRA2-2ESO;DFRA2-2ESO;Desdoble de frances 2 en 2 ESO;<ninguno>;;;;;2 ESO
DFRA2-3ESO;DFRA2-3ESO;Desdoble de frances 2 en 3 ESO;<ninguno>;;;;;
DFRA2-4ESO;DFRA2-4ESO;Desdoble de Francés 2 4ESO;<ninguno>;;;;;4 ESO
DGH-3ESO;DGH-3ESO;Desdoble de GH 3ESO;<ninguno>;;;;;3 ESO
Dib Tec1;Dib Tec1;Dibujo Técnico 1Bach;<ninguno>;;;4;;
Dib Tec2Bac;Dib Tec2Bac;Dibujo Técnico 2º Bach;<ninguno>;;;4;;
DibTécn1Bac;DIBTÉCN I-1BACH;Dibujo Técnico 1º Bach;<ninguno>;;;;;1 Bach (CT)
DibTécn2B;DIBTÉCN II-2BACH;Dibujo Técnico II 2º Bach;<ninguno>;;;;;2 Bach (CT)
DibTécn2B-G2;DIBTÉCN II-2BACH G2;Dibujo Técnico II 2º Bach G2;<ninguno>;;;;;1 Bach (CT)
DING-1Bach;DING-1Bach;Desdoble de Ingles de 1Bach;<ninguno>;;;1;;1 Bach (CT)
DING-1ESO;DING-1ESO;Desdoble de ingles 1ESO;<ninguno>;;;;;1 ESO
DING2-2ESO;DING2-2ESO;Desdoble de Ingles 2 de 2ESO;<ninguno>;;;;;2 ESO
DING2-3ESO;DING2-3ESO;Desdoble de Ingles 2 de 3ESO;<ninguno>;;;1;;3 ESO
DING-2Bach;DING-2Bach;Desdoble Ingles2 Bach;<ninguno>;;;;;
DING-2ESO;DING-2ESO;Desdoble de Ingles 2ESO;<ninguno>;;;1;;2 ESO
DING-3ESO;DING-3ESO;Desdoble de inglés 3ESO;<ninguno>;;;1;;3 ESO
DING-4ESO;DING-4ESO;Desdoble de inglés 4ESO;<ninguno>;;;;;4 ESO
DING-SIng1ES;DING-SIng1ES;Desdoble de ingles 1ESO seccción bil;<ninguno>;;;1;;1 ESO
DING-SIng2ES;DING-SIng2ES;Desdoble de ingles 2ESO seccción bil;<ninguno>;;;1;;2 ESO
DING-SIng3ES;DING-Sing3ES;Desdoble de ingles 3ESO seccción bil;<ninguno>;;;1;;3 ESO
DING-SIng4ES;DING-SIng4ES;Desdoble de Ingles de Sección de Ingles 4ESO;<ninguno>;;;3;;4 ESO
DLCL-1ESO;DLCL-1ESO;Desdoble de Lengua 1ESO;<ninguno>;;;;;1 ESO
DMAT-1ESO;DMAT-1ESO;Desdoble de Matemáticas 1ESO;<ninguno>;;;;;1 ESO
DTEC-2ESO;DTEC2-ESO;Desdoble de Tecnología 2ESO;<ninguno>;;;;;2 ESO
DTEC-3ESO;DTEC-3ESO;Desdoble de Tecnología 3ESO;<ninguno>;;;;;3 ESO
ECO1Bach-G1;ECO1Bach-G1;Economía 1º Bach G1;<ninguno>;;;4;;1 Bach (HCS)
ECO1Bach-G2;ECO1Bach-G2;Economía 1º Bach G2;<ninguno>;;;4;;
ECO1Bach-G3;ECO1Bach-G3;Economía 1º Bach G3;<ninguno>;;;;;
Eco-1BHCNoc;Eco-1BHCNoc;Economía 1º Hum Cien Noctunro.;<ninguno>;;;4;;1BCS
ECO-4ESO-G1;ECO-4ESO-G1;Economía 4ESO grupo 1;<ninguno>;;;3;;4 ESO
ECO-4ESO-G2;ECO-4ESO-G2;Economía 4ESO G2;<ninguno>;;;3;;4 ESO
ECOCENTROS;ECOCENTROS;1 hora de Ecocentros para jubilación de Felipe;<ninguno>;;;;;
EcoEm 2Ba G1;EcoEm 2Ba G1;Economía Empresa 2ºBach G1;<ninguno>;;;4;;2 Bach (HCS)
EcoEm 2Ba G2;EcoEm 2Ba G2;Economía Empresa 2ºBach G2;<ninguno>;;;4;;
EcoEm-2BHCNo;EcoEm-2BHCNo;Economía de Empresa 2º BHC Nocturno.;<ninguno>;;;4;;2BCS
ED-DH - 2ESO;ED-DH - 2ESO;Ed.Ciudadania y Derechos Humano 2ESO;<ninguno>;;;6;;2 ESO
EducCiud3ESO;EC-3ESO;Educación para la ciudadanía 3º ESO;<ninguno>;;;;;3 ESO
EF1Bach;EF-1BACH;Educación Física 1º Bach;<ninguno>;;;8;;1 Bach (CT), 1 Bach (HCS)
EF-1BNoc;EF-1BNoc;Educación Física 1 Bach Nocturno;<ninguno>;;;2;;1BCN, 1BCS
EF-1ESO;EF-1ESO;Educación Física 1º ESO;<ninguno>;;;6;;1 ESO
EF-2ESO;EF-2ESO;Educación Física 2º ESO;<ninguno>;;;6;;2 ESO
EF-3ESO;EF-3ESO;Educación Física 3º ESO;<ninguno>;;;6;;3 ESO
EF-4ESO;EF-4ESO;Educación Física 4º ESO;<ninguno>;;;6;;4 ESO, 4 ESO (DIV)
EF-SIng-1ESO;EF-SIng-1ESO;Educación Física Sección Inglés 1 ESO;<ninguno>;;;4;;1 ESO
EF-SIng-2ESO;;EF-Sing-2ESO;<ninguno>;;;4;;2 ESO
EF-SIng-3ESO;EF-SIng-3ESO;Educación Física - 3ESO Bilingüe;<ninguno>;;;2;;3 ESO
EF-SIng-4ESO;EF-SIng-4ESO;Educación Física - 4ESO Bilingüe;<ninguno>;;;2;;4 ESO
ELEC;ELEC;Electrotecnia;<ninguno>;;;;;
Elect2BachG1;Elect2BachG1;Electrotecnia 2º Bach G1;<ninguno>;;;;;2 Bach (CT)
Elect2BachG2;Elect2BachG2;Electrotecnia 2º Bach G2;<ninguno>;;;;;
EPV(A)-1ESO;EPV(A)-1ESO;Educación Plástica y Visual 1ESO;<ninguno>;;;6;;1 ESO
EPV(A)-3ESO;EPV(A)-3ESO;Educación Plástica  y Visual 3ESO;<ninguno>;;;6;;3 ESO
EPV(A)4ESO;EPV(A)-4ESO;Educación plástica y Visual 4º ESO;<ninguno>;;;3;;4 ESO
EPV(A)4ESOG2;EPV(A)4ESOG2;Educación plástica y Visual 4º ESO G2;<ninguno>;;;3;;4 ESO
EPV(A)-PRAGE;EPV(A)-PRAGE;EPV(A)-PRAGE;<ninguno>;;;;;
EPVA-SIng-1E;EPVA-SIng-1E;Educación plástica y visual sección bil. ing 1ESO;<ninguno>;;;4;;1 ESO
EPVA-SIng-3E;EPVA-SIng-3E;Educación plástica y visual sección bil. ing 3ESO;<ninguno>;;;2;;3 ESO
Est.;;Estudio Asistido;<ninguno>;;;;;1BCN, 1BCS, 2BCN, 2BCS
Estudio1Bach;EST-1BACH;Estudio 1º Bach;<ninguno>;;;;;1 Bach (CT), 1 Bach (HCS)
Estudio2Bach;EST-2BACH;Estudio 2º Bach;<ninguno>;;;;;2 Bach (CT), 2 Bach (HCS)
Ética4ESO;ÉTI-4ESO;Educación ético cívica 4º ESO;<ninguno>;;;;;4 ESO, 4 ESO (DIV)
Ética4ESO SB;Ética4ESO SB;Educación ético cívica 4º ESO Sección Bilingüe;<ninguno>;;;;;4 ESO
ETyCIU-1BACH;ETyCIU-1BACH;Ética y Ciudadanía -1BACH;<ninguno>;;;;;
ETyCIU-1BNoc;ETyCIU-1BNoc;Etica y Ciudadanía 1 Bach nocturno;<ninguno>;;;;;
ETyCIU-2BACH;ETyCIU-2BACH;Etica y Ciudadania 2BACH;<ninguno>;;;;;
ETyCIU-2BNoc;ETyCIU-2BNoc;Etica y Cuidadania 2 bach nocturno;<ninguno>;;;;;
FAG-2Bach;FAG-2BACH;Fundamentos Administración Gestión 2Bach;<ninguno>;;;4;;2 Bach (HCS)
FAG-2BNoc;FAG-2BNoc;Fundamentos Adm. Gest. 2 Bach. Nocturno;<ninguno>;;;4;;
FCT ASIR;FCT ASIR;Formación en Centros de Trabajo ASIR;<ninguno>;;;5;;
FCT DAM;FCT DAM;Formación en Centros de Trabajo DAM;<ninguno>;;;5;;
FCT DAW;FCT DAW;Formación en Centros de Trabajo DAW;<ninguno>;;;4;;
FCT SMR;FCT SMR;Formación en Centros de Trabajo SMR;<ninguno>;;;5;11751;
FIL- 1Bach;FIL-1BACH;Filosofía y ciudadanía 1º Bach;<ninguno>;;;12;;1 Bach (CT), 1 Bach (HCS)
FIL- 4ESO;FIL- 4ESO;Filosofia- 4ESO;<ninguno>;;;;;4 ESO
FIL-1BNoc;FIL-1BNoc;Filosofía 1 Bach. Nocturno;<ninguno>;;;3;;1BCN, 1BCS
Fís 2Bach G1;Fís 2Bach G1;Física 2º Bach G1;<ninguno>;;;4;;2 Bach (CT)
Fís 2Bach G2;Fís 2Bach G2;Física 2º Bach G2;<ninguno>;;;;;
FIS-2BCN;FIS-2BCN;Física 2B Ciencia Noctuno;<ninguno>;;;4;;2BCN
FísQ 1Bac G1;FísQ 1Bac G1;Física y Química 1ºBach G1;<ninguno>;;;8;;1 Bach (CT)
FísQ 1Bac G2;FísQ 1Bac G2;Física y Química 1ºBach G2;<ninguno>;;;;;1 Bach (CT)
FísQ 1Bac G3;FísQ 1Bac G3;Física y Química 1ºBach G3;<ninguno>;;;;;
FísQ 1Bac G4;FísQ 1Bac G4;Física y Química 1ºBach G4;<ninguno>;;;;;
FQ-1BCN;FQ-1BCN;Física y Química 1B Ciencias Nocturno;<ninguno>;;;4;;1BCN
FQ-2ESO;FQ-2ESO;Física y Química-2ESO;<ninguno>;;;18;;2 ESO
FQ-3ESO;FQ-3ESO;Física y química 3º ESO;<ninguno>;;;12;;3 ESO
FQ-4ESO-G1;FQ-4ESO-G1;Físíca química 4º ESO;<ninguno>;;;3;;4 ESO
FQ-4ESO-G2;FQ-4ESO-G2;Físíca química 4º ESO G2;<ninguno>;;;3;;4 ESO
FQ-4ESO-G3;FQ-4ESO-G3;Físíca química 4º ESO G3;<ninguno>;;;;;4 ESO
FQ-ACNEE-2ES;FQ-ACNEE-2ESO;Fisica y Quimica necesidades educativas 2ESO;<ninguno>;;;;;2 ESO
FQ-ACNEE-3ES;FQ-ACNEE-3ESO;Fisica y Quimica necesidades educativas 3ESO;<ninguno>;;;;;3 ESO
FRA1-1BACH;FRA1-1BACH;Francés 1º Bach;<ninguno>;;;3;;1 Bach (CT), 1 Bach (HCS)
FRA1-1BNoc;FRA1-1BNoc;Francés 1 Bachillerato Nocturno;<ninguno>;;;3;;
